2,10.,Additional information
1,10.,Contracting authority
5,10.,Legal basis
1,10.,Number of tenders
5,10.,Scope for additional services
5,11.,Eligibility
3,11.,Legal basis
1,11.,Tender guarantee
5,12.,Candidature
1,12.,DAC code
1,12.,Performance guarantee
1,13.,Information meeting and/or site visit
5,13.,Number of applications
5,14.,Shortlist alliances prohibited
1,14.,Tender validity
5,15.,Grounds for exclusion
1,15.,Period of implementation of tasks
1,16.,Selection criteria
5,16.,Subcontracting
1,17.,Award criteria
5,17.,Number of candidates to be shortlisted
1,18.,How to obtain the tender dossier
5,18.,Provisional date of invitation to tender
1,19.,Deadline for submission of tenders
5,19.,Provisional commencement date of the contract
1,1.,Auftraggeber
15,1.,Publication reference
125,1),Short description
4,20.,Initial period of implementation of tasks and possible extension of the contract
1,20.,Initial period of performance and possible extension of the contract
1,20.,Tender opening session
1,21.,Language of the procedure
5,21.,Selection criteria
5,22.,Award criteria
1,22.,Legal basis
5,23.,Deadline for receipt of applications
5,24.,Application format and details to be provided
5,25.,How applications may be submitted
1,26,Alteration or withdrawal of applications
4,26.,Alteration or withdrawal of applications
5,27.,Operational language
5,28.,Additional information
5,29.,Date of publication of contract forecast
1,2.,Art der Leistung
125,2),Common procurement vocabulary (CPV)
3,2.,Date of publication
13,2.,Procedure
1,2.,Publication date of the procurement notice
5,30.,Legal basis
1,3.,Bezeichnung des Auftrags durch den Auftraggeber
1,3.,Lot number and lot title
16,3.,Programme
124,3),Quantity or scope
3,4.,Contracting authority
1,4.,Contract number and value
13,4.,Financing
1,4.,Frist; bis zu der die Interessenbekundung eingegangen sein muss
119,4),INDICATION ABOUT DIFFERENT DATE FOR DURATION OF CONTRACT OR STARTING/COMPLETION
5,4),Indication about different date for start of award procedures and/or duration of contract
122,5),Additional information about lots
13,5.,Contracting authority
1,5.,Date of award of the contract
1,5.,Leistungsbeschreibung
3,5.,Other information
1,6.,Contract description
5,6.,Description of the contract
7,6.,Nature of contract
1,6.,Number of tenders received
1,6.,Wertungsmerkmale
1,7.,Ausk&#xFC;nfte erteilt entf&#xE4;lltAusk&#xFC;nfte erteilt
7,7.,Contract description
